Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215_9	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	vRhyme_unbinned_101__MGr3G3H3I_000000108711|provirus_5759_27215	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_1	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_10	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_11	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	tail protein													phrog_394	tail protein	phrog_394	tail protein	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_12	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_13	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_14	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_15	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_16	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	Glycosyl hydrolase 108					PF05838.18	Glycosyl hydrolase 108	GH108	N-acetylmuramidase (EC 3.2.1.17)					phrog_12853	""	PF05838.18	Glycosyl hydrolase 108	Pfam
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_17	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_18	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_19	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_2	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""													phrog_22413	""	phrog_22413	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_20	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_21	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""													phrog_590	""	phrog_590	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_22	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""					PF21190.4	Bbp16							phrog_427	""	phrog_427	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_23	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	Major capsid protein GP7					PF20911.4	Major capsid protein GP7							phrog_212	major head protein	PF20911.4	Major capsid protein GP7	Pfam
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_24	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	protease													phrog_458	protease	phrog_458	protease	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_25	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	HNH endonuclease					PF01844.30	HNH endonuclease							phrog_144	HNH endonuclease	phrog_144	HNH endonuclease	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_26	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""					PF25181.2	Bbp19-like phage protein							phrog_528	""	phrog_528	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_27	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_28	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_29	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	head-tail adaptor					PF12236.15	Bacteriophage head to tail connecting protein							phrog_332	head-tail adaptor	phrog_332	head-tail adaptor	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_3	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_30	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""													phrog_831	""	phrog_831	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_32	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_4	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	""													phrog_22520	""	phrog_22520	""	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_5	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high																		KEGG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_6	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	internal virion protein													phrog_418	internal virion protein	phrog_418	internal virion protein	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_7	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	internal virion protein	K26948	gp13; Autographiviridae probable scaffold protein Gp13											phrog_308	internal virion protein	phrog_308	internal virion protein	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_8	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	tail protein													phrog_376	tail protein	phrog_376	tail protein	PHROG
vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742_9	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	vRhyme_unbinned_102__MGr3G3H3I_000000116715|provirus_7273_33742	unclassified	high	lacto-N-biosidase (EC 3.2.1.140); Lacto-N-biosidase (Lewis antigen a/b specificity) (EC 3.2.1.-)							GH136	lacto-N-biosidase (EC 3.2.1.140); Lacto-N-biosidase (Lewis antigen a/b specificity) (EC 3.2.1.-)							GH136	lacto-N-biosidase (EC 3.2.1.140); Lacto-N-biosidase (Lewis antigen a/b specificity) (EC 3.2.1.-)	dbCAN
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_1	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	AAA domain					PF13671.13	AAA domain							phrog_505	polynucleotide kinase	PF13671.13	AAA domain	Pfam
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_10	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_11	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_12	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_13	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	minor tail protein													phrog_290	minor tail protein	phrog_290	minor tail protein	PHROG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_14	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_15	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_16	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_17	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	Conserved hypothetical protein 2217 (DUF2460)	K26973	M; Enterobacteria phage tail tip protein M			PF09343.16	Conserved hypothetical protein 2217 (DUF2460)							phrog_2913	glycoside hydrolase	PF09343.16	Conserved hypothetical protein 2217 (DUF2460)	Pfam
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_18	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_6	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	terminase large subunit	K06909	xtmB; phage terminase large subunit			PF03237.22	Terminase large subunit, T4likevirus-type, N-terminal							phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_7	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	portal protein													phrog_145	portal protein	phrog_145	portal protein	PHROG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_8	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high																		KEGG
vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970_9	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	vRhyme_unbinned_103__MGr3G3H3I_000000120995|provirus_27569_54970	unclassified	high	major head protein													phrog_283	major head protein	phrog_283	major head protein	PHROG
vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664_1	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	unclassified	high																		KEGG
vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664_2	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	unclassified	high																		KEGG
vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664_3	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	vRhyme_unbinned_104__MGr3G3H3I_000000125775|provirus_133_9664	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_1	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	""					PF23845.2	Non-contractile tail sheath protein TIM barrel							phrog_6040	""	phrog_6040	""	PHROG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_10	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_11	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	major head protein													phrog_283	major head protein	phrog_283	major head protein	PHROG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_12	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_13	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	portal protein													phrog_145	portal protein	phrog_145	portal protein	PHROG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_14	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	terminase large subunit	K06909	xtmB; phage terminase large subunit			PF03237.22	Terminase large subunit, T4likevirus-type, N-terminal							phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_15	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_16	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)							GT83	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)							GT83	undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)	dbCAN
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_2	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	Putative phage tail protein					PF13550.13	Putative phage tail protein									PF13550.13	Putative phage tail protein	Pfam
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_3	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_4	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	Conserved hypothetical protein 2217 (DUF2460)					PF09343.16	Conserved hypothetical protein 2217 (DUF2460)									PF09343.16	Conserved hypothetical protein 2217 (DUF2460)	Pfam
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_5	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_6	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_7	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high	minor tail protein													phrog_290	minor tail protein	phrog_290	minor tail protein	PHROG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_8	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807_9	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	vRhyme_unbinned_106__MGr3G3H3I_000000184658|provirus_15737_33807	unclassified	high																		KEGG
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_10	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high	W; Bacteriophage baseplate protein W	K06903	W; Bacteriophage baseplate protein W			PF04965.20	Baseplate wedge protein gp25							phrog_261	baseplate wedge subunit	K06903	W; Bacteriophage baseplate protein W	KEGG
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_11	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high																		KEGG
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_13	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high	D; Bacteriophage probable baseplate hub protein	K06905	D; Bacteriophage probable baseplate hub protein											phrog_52	tail protein	K06905	D; Bacteriophage probable baseplate hub protein	KEGG
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_14	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high	Contractile injection system tube protein			HMMsoil65371	E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5]	PF19266.5	Contractile injection system tube protein	CBM50	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.					phrog_380	endolysin	PF19266.5	Contractile injection system tube protein	Pfam
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_15	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high																		KEGG
vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997_16	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	vRhyme_unbinned_107__MGr3G3H3I_000000207831|provirus_30197_56997	unclassified	high	T4-like virus tail tube protein gp19					PF06841.19	T4-like virus tail tube protein gp19							phrog_4542	tail tube protein	PF06841.19	T4-like virus tail tube protein gp19	Pfam
