Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_bin_11__LABRr1A1B1C_000000287262_2	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_3	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_4	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_5	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	terminase large subunit													phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000287262_6	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_7	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_8	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000287262_9	vRhyme_bin_11__LABRr1A1B1C_000000287262	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_1	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_10	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_11	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_12	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_13	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	DNA polymerase exonuclease subunit													phrog_192	DNA polymerase exonuclease subunit	phrog_192	DNA polymerase exonuclease subunit	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000321934_14	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_15	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_16	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_17	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_18	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true	UvsX-like recombinase	K03553	recA; recombination protein RecA			PF00154.28	RecA N-terminal domain							phrog_97	UvsX-like recombinase	phrog_97	UvsX-like recombinase	PHROG
vRhyme_bin_11__LABRr1A1B1C_000000321934_19	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_2	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false	K27455; Staphylococcus phage HNH endonuclease	K27455	K27455; Staphylococcus phage HNH endonuclease											phrog_3377	HNH endonuclease	K27455	K27455; Staphylococcus phage HNH endonuclease	KEGG
vRhyme_bin_11__LABRr1A1B1C_000000321934_3	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_4	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_5	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_6	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_7	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_8	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__LABRr1A1B1C_000000321934_9	vRhyme_bin_11__LABRr1A1B1C_000000321934	LABRr1A1B1C_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MGr3G3H3I_000000155796_1	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_10	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_11	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_12	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_13	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_14	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_15	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_16	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_17	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_18	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_19	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	""													phrog_13338	""	phrog_13338	""	PHROG
vRhyme_bin_11__MGr3G3H3I_000000155796_2	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_20	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_21	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_22	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_23	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_24	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_25	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	head-tail adaptor													phrog_442	head-tail adaptor	phrog_442	head-tail adaptor	PHROG
vRhyme_bin_11__MGr3G3H3I_000000155796_26	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_27	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	""													phrog_5707	""	phrog_5707	""	PHROG
vRhyme_bin_11__MGr3G3H3I_000000155796_28	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	major head protein					PF05065.20	Phage capsid family							phrog_617	major head protein	phrog_617	major head protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000155796_29	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_3	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_30	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_31	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	portal protein					PF04860.18	Phage portal protein							phrog_2662	portal protein	phrog_2662	portal protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000155796_32	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_33	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	Lon-like protease BrxL-like, ATPase domain					PF13337.13	Lon-like protease BrxL-like, ATPase domain									PF13337	Lon-like protease BrxL-like, ATPase domain	Pfam
vRhyme_bin_11__MGr3G3H3I_000000155796_34	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_4	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_5	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_6	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_7	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	Lysozyme g					PF31087.1	Lysozyme g									PF31087	Lysozyme g	Pfam
vRhyme_bin_11__MGr3G3H3I_000000155796_8	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000155796_9	vRhyme_bin_11__MGr3G3H3I_000000155796	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MGr3G3H3I_000000213947_1	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true	tail assembly protein					PF09931.16	Baseplate hub protein, N-terminal attachment domain							phrog_778	tail assembly protein	phrog_778	tail assembly protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000213947_10	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	false	tail length tape measure protein													phrog_2854	tail length tape measure protein	phrog_2854	tail length tape measure protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000213947_2	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MGr3G3H3I_000000213947_3	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true	tail fiber assembly													phrog_863	tail fiber assembly	phrog_863	tail fiber assembly	PHROG
vRhyme_bin_11__MGr3G3H3I_000000213947_4	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true	tail protein													phrog_1101	tail protein	phrog_1101	tail protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000213947_6	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MGr3G3H3I_000000213947_7	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true	tail assembly protein					PF09931.16	Baseplate hub protein, N-terminal attachment domain							phrog_778	tail assembly protein	phrog_778	tail assembly protein	PHROG
vRhyme_bin_11__MGr3G3H3I_000000213947_8	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MGr3G3H3I_000000213947_9	vRhyme_bin_11__MGr3G3H3I_000000213947	MGr3G3H3I_vRhyme_bin_11	unclassified	high	true	glycoside hydrolase					PF09343.16	Conserved hypothetical protein 2217 (DUF2460)							phrog_2913	glycoside hydrolase	phrog_2913	glycoside hydrolase	PHROG
vRhyme_bin_11__MHr2D2E2F_000000040067_12	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000040067_13	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000040067_14	vRhyme_bin_11__MHr2D2E2F_000000040067	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000047197_1	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000047197_10	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_11	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_12	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_13	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_14	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_15	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true	""													phrog_5845	""	phrog_5845	""	PHROG
vRhyme_bin_11__MHr2D2E2F_000000047197_16	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]			HMMsoil12920	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]											HMMsoil12920	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	FOAM
vRhyme_bin_11__MHr2D2E2F_000000047197_17	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_18	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_2	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true	phosphoadenosine phosphosulfate reductase			HMMsoil57593	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [EC:1.8.4.10]									phrog_424	phosphoadenosine phosphosulfate reductase	phrog_424	phosphoadenosine phosphosulfate reductase	PHROG
vRhyme_bin_11__MHr2D2E2F_000000047197_20	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000047197_21	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000047197_22	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000047197_3	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_4	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_5	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_6	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_7	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_8	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000047197_9	vRhyme_bin_11__MHr2D2E2F_000000047197	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_1	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_10	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_11	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false	""													phrog_2164	""	phrog_2164	""	PHROG
vRhyme_bin_11__MHr2D2E2F_000000049988_2	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_3	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_39	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_4	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_40	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_41	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_42	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_46	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_47	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_48	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_49	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_5	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_50	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_51	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_52	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_53	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_54	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000049988_6	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_7	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_8	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000049988_9	vRhyme_bin_11__MHr2D2E2F_000000049988	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000121636_1	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000121636_10	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_11	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_12	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_13	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true	DNA methylase					PF01555.25	DNA methylase									PF01555	DNA methylase	Pfam
vRhyme_bin_11__MHr2D2E2F_000000121636_2	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000121636_3	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000121636_4	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000121636_6	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_7	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_8	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000121636_9	vRhyme_bin_11__MHr2D2E2F_000000121636	MHr2D2E2F_vRhyme_bin_11	unclassified	high	true																		
vRhyme_bin_11__MHr2D2E2F_000000167594_20	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000167594_21	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
vRhyme_bin_11__MHr2D2E2F_000000167594_22	vRhyme_bin_11__MHr2D2E2F_000000167594	MHr2D2E2F_vRhyme_bin_11	unclassified	high	false																		
